"topic_id","post_number","author","html_message","timestamp"
1030,33,"d99c39864df6b41d","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>160a1b78dcdbd065</strong>: 
  </div> 
  <div>
    Do you kids really have ****ing nothing better to do?!? really? go jack off if you're THIS ****ing bored that you feel the need to hate on someone for no good reason. 
  </div> 
 </div> 
</div> 
<br /> 
<br /> Uh... do you have nothing better to do than defend a faceless player on the internet on a forum? 
<br /> 
<br /> You realize you're being just as worthless as those you're fighting at the moment. 
<p></p>","2014-10-05 00:00:00"
1030,34,"160a1b78dcdbd065","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>6f2d35c25fb498ec</strong>: 
  </div> 
  <div>
    you know we only express our dislike of him when someone makes a thread about him, right? 
  </div> 
 </div> 
</div> 
<br /> ....... you know my whole point is there is no ****ing point to make a thread about him, right? 
<br /> 
<br /> 
<br /> /facepalm 
<p></p>","2014-10-05 00:00:00"
1030,35,"160a1b78dcdbd065","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>d99c39864df6b41d</strong>: 
  </div> 
  <div>
    Uh... do you have nothing better to do than defend a faceless player on the internet on a forum? 
   <br /> 
   <br /> You realize you're being just as worthless as those you're fighting at the moment. 
  </div> 
 </div> 
</div> 
<br /> faceless? he streams. he has a face and he's shown it on stream many times before. 
<br /> 
<br /> you realize i've now repeated 3 times &quot;fight fire with fire&quot; is my whole strategy right? i don't understand why people keep saying **** like &quot;hurr durr you're just as bad as everyone here&quot; when i've explicitly stated that THAT IS MY STRATEGY 
<p></p>","2014-10-05 00:00:00"
1030,36,"6f2d35c25fb498ec","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>160a1b78dcdbd065</strong>: 
  </div> 
  <div>
    ....... you know my whole point is there is no ****ing point to make a thread about him, right? 
   <br /> 
   <br /> 
   <br /> /facepalm 
  </div> 
 </div> 
</div> 
<br /> one person made a thread about him and you're flying off the handle on about 8 different people here. 
<br /> 
<br /> 
<br /> frankly, most people here could give two ****s about hashbrown. it's just that when given the opportunity to express our opinions of the guy, it's highly negative. 
<p></p>","2014-10-05 00:00:00"
1030,37,"160a1b78dcdbd065","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>1649ddb9d9410e9e</strong>: 
  </div> 
  <div>
    I'd rather not do that, because he's not so bad of a poster that he's just straight up wrong all the time. He does bring up valid points from time to time. 
   <br /> 
   <br /> Blacklisting people who I don't agree with seems kind of narrow minded and stupid to me. 
  </div> 
 </div> 
</div> 
<br /> if you refuse to blacklist him then complain about his posts then it's your own ****ing problem kid. you have been given the choice of dealing with him or not and you complain about it still?? i don't understand. you sound pretty stupid to me too right about now 
<p></p>","2014-10-05 00:00:00"
1030,38,"160a1b78dcdbd065","<html>
  <head>
    
  </head>
  <body>
    <p>
      
    </p>
    <div class=""quote"">
      <div>
        Quote:
      </div>
      <div class=""quote-message"">
        <div>
          <strong>6f2d35c25fb498ec</strong>:
        </div>
        <div>
          one person made a thread about him and you're flying off the handle 
          on about 8 different people here.<br><br><br>frankly, most people 
          here could give two ****s about hashbrown. it's just that when given 
          the opportunity to express our opinions of the guy, it's highly 
          negative.
        </div>
      </div>
    </div>
    <br>
    and there's no point to continue posting all this **** about him either. 
    if you don't like him so much why the **** do you give him attention? 
    whether you like him or not, hating him is still giving him attention.<br><br>and 
    it's not just 1 person, i've seen tons of hate threads about 
    fd897c3091b5bee1 and many other infamous people.
  </body>
</html>
","2014-10-05 00:00:00"
1030,39,"d99c39864df6b41d","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>160a1b78dcdbd065</strong>: 
  </div> 
  <div>
    faceless? he streams. he has a face and he's shown it on stream many times before. 
  </div> 
 </div> 
</div> 
<br /> 
<br /> Faceless as in you've never met him, more than likely won't meet him and has no actual impact on your personal life. 
<br /> 
<br /> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div></div> 
  <div>
    you realize i've now repeated 3 times &quot;fight fire with fire&quot; is my whole strategy right? i don't understand why people keep saying **** like &quot;hurr durr you're just as bad as everyone here&quot; when i've explicitly stated that THAT IS MY STRATEGY 
  </div> 
 </div> 
</div> 
<br /> 
<br /> Yes, and that strategy does not detract from the question I posed: Uh... do you have nothing better to do than defend a faceless player on the internet on a forum? 
<p></p>","2014-10-05 00:00:00"
1030,40,"6f2d35c25fb498ec","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>160a1b78dcdbd065</strong>: 
  </div> 
  <div>
    and there's no point to continue posting all this **** about him either. if you don't like him so much why the **** do you give him attention? whether you like him or not, hating him is still giving him attention. 
  </div> 
 </div> 
</div> 
<br /> and? 
<p></p>","2014-10-05 00:00:00"
1030,41,"1649ddb9d9410e9e","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>6f2d35c25fb498ec</strong>: 
  </div> 
  <div>
    frankly, most people here could give two ****s about hashbrown. it's just that when given the opportunity to express our opinions of the guy, it's highly negative. 
  </div> 
 </div> 
</div> 
<br /> That sums up my position on him nicely. 
<p></p>","2014-10-05 00:00:00"
1030,42,"160a1b78dcdbd065","<p></p> 
<div class=""quote""> 
 <div>
   Quote: 
 </div> 
 <div class=""quote-message""> 
  <div> 
   <strong>d99c39864df6b41d</strong>: 
  </div> 
  <div>
    Faceless as in you've never met him, more than likely won't meet him and has no actual impact on your personal life. 
   <br /> 
   <br /> 
   <br /> 
   <br /> Yes, and that strategy does not detract from the question I posed: Uh... do you have nothing better to do than defend a faceless player on the internet on a forum? 
  </div> 
 </div> 
</div> 
<br /> &quot;Faceless as in you've never met him, more than likely won't meet him and has no actual impact on your personal life.&quot; 
<br /> 
<br /> &quot;more than likely won't meet him and has no actual impact on your personal life.&quot; 
<br /> 
<br /> you're saying this **** about me and i'm essentially a mirror right now. i have nothing better to do than to defend a faceless player on the internet just like you have nothing to do than to hate on him. and i mean &quot;you&quot; in general. so anything you say about me can be said about you. 
<p></p>","2014-10-05 00:00:00"
